Time,Value
0.000000,1.010190
0.100100,1.010137
0.200200,1.010083
0.300300,1.010027
0.400400,1.009971
0.500501,1.009914
0.600601,1.009856
0.700701,1.009797
0.800801,1.009738
0.900901,1.009677
1.001001,1.009615
1.101101,1.009553
1.201201,1.009490
1.301301,1.009426
1.401401,1.009362
1.501502,1.009296
1.601602,1.009230
1.701702,1.009164
1.801802,1.009096
1.901902,1.009028
2.002002,1.008960
2.102102,1.008890
2.202202,1.008820
2.302302,1.008750
2.402402,1.008679
2.502503,1.008607
2.602603,1.008535
2.702703,1.008462
2.802803,1.008389
2.902903,1.008316
3.003003,1.008242
3.103103,1.008167
3.203203,1.008092
3.303303,1.008017
3.403403,1.007941
3.503504,1.007865
3.603604,1.007788
3.703704,1.007711
3.803804,1.007634
3.903904,1.007556
4.004004,1.007478
4.104104,1.007400
4.204204,1.007322
4.304304,1.007243
4.404404,1.007164
4.504505,1.007085
4.604605,1.007005
4.704705,1.006925
4.804805,1.006845
4.904905,1.006765
5.005005,1.006685
5.105105,1.006604
5.205205,1.006523
5.305305,1.006443
5.405405,1.006362
5.505506,1.006281
5.605606,1.006199
5.705706,1.006118
5.805806,1.006037
5.905906,1.005955
6.006006,1.005873
6.106106,1.005792
6.206206,1.005710
6.306306,1.005628
6.406406,1.005546
6.506507,1.005465
6.606607,1.005383
6.706707,1.005301
6.806807,1.005219
6.906907,1.005137
7.007007,1.005055
7.107107,1.004974
7.207207,1.004892
7.307307,1.004810
7.407407,1.004728
7.507508,1.004647
7.607608,1.004565
7.707708,1.004484
7.807808,1.004402
7.907908,1.004321
8.008008,1.004240
8.108108,1.004159
8.208208,1.004078
8.308308,1.003997
8.408408,1.003916
8.508509,1.003836
8.608609,1.003755
8.708709,1.003675
8.808809,1.003595
8.908909,1.003515
9.009009,1.003435
9.109109,1.003356
9.209209,1.003276
9.309309,1.003197
9.409409,1.003118
9.509510,1.003039
9.609610,1.002960
9.709710,1.002882
9.809810,1.002803
9.909910,1.002725
10.010010,1.002648
10.110110,1.002570
10.210210,1.002493
10.310310,1.002416
10.410410,1.002339
10.510511,1.002262
10.610611,1.002186
10.710711,1.002110
10.810811,1.002034
10.910911,1.001958
11.011011,1.001883
11.111111,1.001808
11.211211,1.001733
11.311311,1.001658
11.411411,1.001584
11.511512,1.001510
11.611612,1.001437
11.711712,1.001363
11.811812,1.001290
11.911912,1.001218
12.012012,1.001145
12.112112,1.001073
12.212212,1.001001
12.312312,1.000930
12.412412,1.000858
12.512513,1.000788
12.612613,1.000717
12.712713,1.000647
12.812813,1.000577
12.912913,1.000507
13.013013,1.000438
13.113113,1.000369
13.213213,1.000300
13.313313,1.000232
13.413413,1.000164
13.513514,1.000097
13.613614,1.000029
13.713714,0.999963
13.813814,0.999896
13.913914,0.999830
14.014014,0.999764
14.114114,0.999699
14.214214,0.999633
14.314314,0.999569
14.414414,0.999504
14.514515,0.999440
14.614615,0.999377
14.714715,0.999313
14.814815,0.999250
14.914915,0.999188
15.015015,0.999125
15.115115,0.999063
15.215215,0.999002
15.315315,0.998941
15.415415,0.998880
15.515516,0.998820
15.615616,0.998760
15.715716,0.998700
15.815816,0.998641
15.915916,0.998582
16.016016,0.998523
16.116116,0.998465
16.216216,0.998407
16.316316,0.998350
16.416416,0.998293
16.516517,0.998236
16.616617,0.998180
16.716717,0.998124
16.816817,0.998068
16.916917,0.998013
17.017017,0.997958
17.117117,0.997904
17.217217,0.997850
17.317317,0.997796
17.417417,0.997743
17.517518,0.997690
17.617618,0.997637
17.717718,0.997585
17.817818,0.997533
17.917918,0.997482
18.018018,0.997431
18.118118,0.997380
18.218218,0.997330
18.318318,0.997280
18.418418,0.997230
18.518519,0.997181
18.618619,0.997132
18.718719,0.997083
18.818819,0.997035
18.918919,0.996988
19.019019,0.996940
19.119119,0.996893
19.219219,0.996847
19.319319,0.996800
19.419419,0.996755
19.519520,0.996709
19.619620,0.996664
19.719720,0.996619
19.819820,0.996575
19.919920,0.996531
20.020020,0.996487
20.120120,0.996443
20.220220,0.996400
20.320320,0.996358
20.420420,0.996316
20.520521,0.996274
20.620621,0.996232
20.720721,0.996191
20.820821,0.996150
20.920921,0.996109
21.021021,0.996069
21.121121,0.996030
21.221221,0.995990
21.321321,0.995951
21.421421,0.995912
21.521522,0.995874
21.621622,0.995836
21.721722,0.995798
21.821822,0.995761
21.921922,0.995723
22.022022,0.995687
22.122122,0.995650
22.222222,0.995614
22.322322,0.995579
22.422422,0.995543
22.522523,0.995508
22.622623,0.995473
22.722723,0.995439
22.822823,0.995405
22.922923,0.995371
23.023023,0.995338
23.123123,0.995305
23.223223,0.995272
23.323323,0.995240
23.423423,0.995207
23.523524,0.995176
23.623624,0.995144
23.723724,0.995113
23.823824,0.995082
23.923924,0.995052
24.024024,0.995021
24.124124,0.994991
24.224224,0.994962
24.324324,0.994932
24.424424,0.994903
24.524525,0.994875
24.624625,0.994846
24.724725,0.994818
24.824825,0.994790
24.924925,0.994763
25.025025,0.994735
25.125125,0.994708
25.225225,0.994682
25.325325,0.994655
25.425425,0.994629
25.525526,0.994604
25.625626,0.994578
25.725726,0.994553
25.825826,0.994528
25.925926,0.994503
26.026026,0.994479
26.126126,0.994455
26.226226,0.994431
26.326326,0.994407
26.426426,0.994384
26.526527,0.994361
26.626627,0.994338
26.726727,0.994315
26.826827,0.994293
26.926927,0.994271
27.027027,0.994249
27.127127,0.994228
27.227227,0.994207
27.327327,0.994186
27.427427,0.994165
27.527528,0.994144
27.627628,0.994124
27.727728,0.994104
27.827828,0.994084
27.927928,0.994065
28.028028,0.994046
28.128128,0.994027
28.228228,0.994008
28.328328,0.993989
28.428428,0.993971
28.528529,0.993953
28.628629,0.993935
28.728729,0.993917
28.828829,0.993900
28.928929,0.993883
29.029029,0.993866
29.129129,0.993849
29.229229,0.993833
29.329329,0.993816
29.429429,0.993800
29.529530,0.993785
29.629630,0.993769
29.729730,0.993753
29.829830,0.993738
29.929930,0.993723
30.030030,0.993708
30.130130,0.993694
30.230230,0.993679
30.330330,0.993665
30.430430,0.993651
30.530531,0.993637
30.630631,0.993624
30.730731,0.993610
30.830831,0.993597
30.930931,0.993584
31.031031,0.993571
31.131131,0.993559
31.231231,0.993546
31.331331,0.993534
31.431431,0.993522
31.531532,0.993510
31.631632,0.993498
31.731732,0.993487
31.831832,0.993475
31.931932,0.993464
32.032032,0.993453
32.132132,0.993442
32.232232,0.993432
32.332332,0.993421
32.432432,0.993411
32.532533,0.993401
32.632633,0.993391
32.732733,0.993381
32.832833,0.993371
32.932933,0.993362
33.033033,0.993352
33.133133,0.993343
33.233233,0.993334
33.333333,0.993325
33.433433,0.993316
33.533534,0.993308
33.633634,0.993299
33.733734,0.993291
33.833834,0.993283
33.933934,0.993275
34.034034,0.993267
34.134134,0.993259
34.234234,0.993251
34.334334,0.993244
34.434434,0.993237
34.534535,0.993229
34.634635,0.993222
34.734735,0.993215
34.834835,0.993209
34.934935,0.993202
35.035035,0.993195
35.135135,0.993189
35.235235,0.993183
35.335335,0.993176
35.435435,0.993170
35.535536,0.993164
35.635636,0.993159
35.735736,0.993153
35.835836,0.993147
35.935936,0.993142
36.036036,0.993137
36.136136,0.993131
36.236236,0.993126
36.336336,0.993121
36.436436,0.993116
36.536537,0.993111
36.636637,0.993107
36.736737,0.993102
36.836837,0.993098
36.936937,0.993093
37.037037,0.993089
37.137137,0.993085
37.237237,0.993081
37.337337,0.993077
37.437437,0.993073
37.537538,0.993069
37.637638,0.993065
37.737738,0.993062
37.837838,0.993058
37.937938,0.993055
38.038038,0.993051
38.138138,0.993048
38.238238,0.993045
38.338338,0.993042
38.438438,0.993039
38.538539,0.993036
38.638639,0.993033
38.738739,0.993030
38.838839,0.993028
38.938939,0.993025
39.039039,0.993022
39.139139,0.993020
39.239239,0.993018
39.339339,0.993015
39.439439,0.993013
39.539540,0.993011
39.639640,0.993009
39.739740,0.993007
39.839840,0.993005
39.939940,0.993003
40.040040,0.993001
40.140140,0.992999
40.240240,0.992998
40.340340,0.992996
40.440440,0.992995
40.540541,0.992993
40.640641,0.992992
40.740741,0.992990
40.840841,0.992989
40.940941,0.992988
41.041041,0.992986
41.141141,0.992985
41.241241,0.992984
41.341341,0.992983
41.441441,0.992982
41.541542,0.992981
41.641642,0.992980
41.741742,0.992979
41.841842,0.992979
41.941942,0.992978
42.042042,0.992977
42.142142,0.992976
42.242242,0.992976
42.342342,0.992975
42.442442,0.992975
42.542543,0.992974
42.642643,0.992974
42.742743,0.992973
42.842843,0.992973
42.942943,0.992973
43.043043,0.992972
43.143143,0.992972
43.243243,0.992972
43.343343,0.992972
43.443443,0.992972
43.543544,0.992972
43.643644,0.992971
43.743744,0.992971
43.843844,0.992971
43.943944,0.992971
44.044044,0.992972
44.144144,0.992972
44.244244,0.992972
44.344344,0.992972
44.444444,0.992972
44.544545,0.992972
44.644645,0.992973
44.744745,0.992973
44.844845,0.992973
44.944945,0.992973
45.045045,0.992974
45.145145,0.992974
45.245245,0.992974
45.345345,0.992975
45.445445,0.992975
45.545546,0.992976
45.645646,0.992976
45.745746,0.992977
45.845846,0.992977
45.945946,0.992978
46.046046,0.992978
46.146146,0.992979
46.246246,0.992979
46.346346,0.992980
46.446446,0.992981
46.546547,0.992981
46.646647,0.992982
46.746747,0.992983
46.846847,0.992983
46.946947,0.992984
47.047047,0.992985
47.147147,0.992985
47.247247,0.992986
47.347347,0.992987
47.447447,0.992987
47.547548,0.992988
47.647648,0.992989
47.747748,0.992990
47.847848,0.992991
47.947948,0.992991
48.048048,0.992992
48.148148,0.992993
48.248248,0.992994
48.348348,0.992995
48.448448,0.992995
48.548549,0.992996
48.648649,0.992997
48.748749,0.992998
48.848849,0.992999
48.948949,0.993000
49.049049,0.993000
49.149149,0.993001
49.249249,0.993002
49.349349,0.993003
49.449449,0.993004
49.549550,0.993005
49.649650,0.993006
49.749750,0.993006
49.849850,0.993007
49.949950,0.993008
50.050050,0.993009
50.150150,0.993010
50.250250,0.993011
50.350350,0.993012
50.450450,0.993012
50.550551,0.993013
50.650651,0.993014
50.750751,0.993015
50.850851,0.993016
50.950951,0.993017
51.051051,0.993018
51.151151,0.993018
51.251251,0.993019
51.351351,0.993020
51.451451,0.993021
51.551552,0.993022
51.651652,0.993023
51.751752,0.993023
51.851852,0.993024
51.951952,0.993025
52.052052,0.993026
52.152152,0.993027
52.252252,0.993027
52.352352,0.993028
52.452452,0.993029
52.552553,0.993030
52.652653,0.993030
52.752753,0.993031
52.852853,0.993032
52.952953,0.993033
53.053053,0.993033
53.153153,0.993034
53.253253,0.993035
53.353353,0.993035
53.453453,0.993036
53.553554,0.993037
53.653654,0.993038
53.753754,0.993038
53.853854,0.993039
53.953954,0.993039
54.054054,0.993040
54.154154,0.993041
54.254254,0.993041
54.354354,0.993042
54.454454,0.993042
54.554555,0.993043
54.654655,0.993044
54.754755,0.993044
54.854855,0.993045
54.954955,0.993045
55.055055,0.993046
55.155155,0.993046
55.255255,0.993047
55.355355,0.993047
55.455455,0.993048
55.555556,0.993048
55.655656,0.993049
55.755756,0.993049
55.855856,0.993049
55.955956,0.993050
56.056056,0.993050
56.156156,0.993051
56.256256,0.993051
56.356356,0.993051
56.456456,0.993052
56.556557,0.993052
56.656657,0.993052
56.756757,0.993053
56.856857,0.993053
56.956957,0.993053
57.057057,0.993053
57.157157,0.993054
57.257257,0.993054
57.357357,0.993054
57.457457,0.993054
57.557558,0.993055
57.657658,0.993055
57.757758,0.993055
57.857858,0.993055
57.957958,0.993055
58.058058,0.993055
58.158158,0.993055
58.258258,0.993055
58.358358,0.993055
58.458458,0.993056
58.558559,0.993056
58.658659,0.993056
58.758759,0.993056
58.858859,0.993056
58.958959,0.993056
59.059059,0.993056
59.159159,0.993056
59.259259,0.993055
59.359359,0.993055
59.459459,0.993055
59.559560,0.993055
59.659660,0.993055
59.759760,0.993055
59.859860,0.993055
59.959960,0.993055
60.060060,0.993054
60.160160,0.993054
60.260260,0.993054
60.360360,0.993054
60.460460,0.993054
60.560561,0.993053
60.660661,0.993053
60.760761,0.993053
60.860861,0.993053
60.960961,0.993052
61.061061,0.993052
61.161161,0.993052
61.261261,0.993051
61.361361,0.993051
61.461461,0.993050
61.561562,0.993050
61.661662,0.993050
61.761762,0.993049
61.861862,0.993049
61.961962,0.993048
62.062062,0.993048
62.162162,0.993047
62.262262,0.993047
62.362362,0.993046
