Time,Value
0.000000,8.138574
0.100100,8.100222
0.200200,8.060573
0.300300,8.019655
0.400400,7.977491
0.500501,7.934108
0.600601,7.889530
0.700701,7.843782
0.800801,7.796888
0.900901,7.748873
1.001001,7.699761
1.101101,7.649573
1.201201,7.598335
1.301301,7.546069
1.401401,7.492798
1.501502,7.438543
1.601602,7.383328
1.701702,7.327173
1.801802,7.270102
1.901902,7.212134
2.002002,7.153291
2.102102,7.093593
2.202202,7.033063
2.302302,6.971718
2.402402,6.909581
2.502503,6.846669
2.602603,6.783004
2.702703,6.718604
2.802803,6.653488
2.902903,6.587676
3.003003,6.521185
3.103103,6.454034
3.203203,6.386241
3.303303,6.317825
3.403403,6.248801
3.503504,6.179189
3.603604,6.109005
3.703704,6.038267
3.803804,5.966990
3.903904,5.895191
4.004004,5.822887
4.104104,5.750094
4.204204,5.676828
4.304304,5.603103
4.404404,5.528937
4.504505,5.454343
4.604605,5.379337
4.704705,5.303934
4.804805,5.228148
4.904905,5.151994
5.005005,5.075486
5.105105,4.998638
5.205205,4.921464
5.305305,4.843978
5.405405,4.766192
5.505506,4.688120
5.605606,4.609775
5.705706,4.531171
5.805806,4.452319
5.905906,4.373232
6.006006,4.293923
6.106106,4.214404
6.206206,4.134686
6.306306,4.054782
6.406406,3.974703
6.506507,3.894460
6.606607,3.814065
6.706707,3.733530
6.806807,3.652863
6.906907,3.572078
7.007007,3.491184
7.107107,3.410191
7.207207,3.329110
7.307307,3.247952
7.407407,3.166725
7.507508,3.085440
7.607608,3.004107
7.707708,2.922735
7.807808,2.841333
7.907908,2.759911
8.008008,2.678478
8.108108,2.597042
8.208208,2.515612
8.308308,2.434197
8.408408,2.352806
8.508509,2.271447
8.608609,2.190127
8.708709,2.108856
8.808809,2.027640
8.908909,1.946488
9.009009,1.865408
9.109109,1.784406
9.209209,1.703491
9.309309,1.622670
9.409409,1.541949
9.509510,1.461336
9.609610,1.380838
9.709710,1.300461
9.809810,1.220212
9.909910,1.140098
10.010010,1.060125
10.110110,0.980298
10.210210,0.900626
10.310310,0.821113
10.410410,0.741765
10.510511,0.662588
10.610611,0.583589
10.710711,0.504772
10.810811,0.426143
10.910911,0.347707
11.011011,0.269470
11.111111,0.191437
11.211211,0.113612
11.311311,0.036002
11.411411,-0.041390
11.511512,-0.118558
11.611612,-0.195498
11.711712,-0.272206
11.811812,-0.348676
11.911912,-0.424905
12.012012,-0.500888
12.112112,-0.576621
12.212212,-0.652101
12.312312,-0.727322
12.412412,-0.802281
12.512513,-0.876975
12.612613,-0.951399
12.712713,-1.025551
12.812813,-1.099425
12.912913,-1.173020
13.013013,-1.246332
13.113113,-1.319357
13.213213,-1.392092
13.313313,-1.464534
13.413413,-1.536680
13.513514,-1.608527
13.613614,-1.680072
13.713714,-1.751313
13.813814,-1.822246
13.913914,-1.892869
14.014014,-1.963180
14.114114,-2.033175
14.214214,-2.102854
14.314314,-2.172212
14.414414,-2.241248
14.514515,-2.309960
14.614615,-2.378345
14.714715,-2.446402
14.814815,-2.514129
14.914915,-2.581523
15.015015,-2.648582
15.115115,-2.715305
15.215215,-2.781691
15.315315,-2.847737
15.415415,-2.913441
15.515516,-2.978803
15.615616,-3.043821
15.715716,-3.108493
15.815816,-3.172818
15.915916,-3.236795
16.016016,-3.300422
16.116116,-3.363699
16.216216,-3.426623
16.316316,-3.489194
16.416416,-3.551412
16.516517,-3.613274
16.616617,-3.674780
16.716717,-3.735930
16.816817,-3.796722
16.916917,-3.857155
17.017017,-3.917229
17.117117,-3.976944
17.217217,-4.036298
17.317317,-4.095291
17.417417,-4.153922
17.517518,-4.212192
17.617618,-4.270099
17.717718,-4.327643
17.817818,-4.384824
17.917918,-4.441642
18.018018,-4.498096
18.118118,-4.554186
18.218218,-4.609912
18.318318,-4.665273
18.418418,-4.720271
18.518519,-4.774904
18.618619,-4.829172
18.718719,-4.883076
18.818819,-4.936616
18.918919,-4.989792
19.019019,-5.042604
19.119119,-5.095052
19.219219,-5.147136
19.319319,-5.198857
19.419419,-5.250215
19.519520,-5.301210
19.619620,-5.351842
19.719720,-5.402113
19.819820,-5.452022
19.919920,-5.501570
20.020020,-5.550757
20.120120,-5.599584
20.220220,-5.648051
20.320320,-5.696159
20.420420,-5.743909
20.520521,-5.791301
20.620621,-5.838336
20.720721,-5.885014
20.820821,-5.931337
20.920921,-5.977304
21.021021,-6.022917
21.121121,-6.068177
21.221221,-6.113084
21.321321,-6.157640
21.421421,-6.201844
21.521522,-6.245699
21.621622,-6.289204
21.721722,-6.332361
21.821822,-6.375171
21.921922,-6.417634
22.022022,-6.459752
22.122122,-6.501526
22.222222,-6.542957
22.322322,-6.584046
22.422422,-6.624794
22.522523,-6.665201
22.622623,-6.705270
22.722723,-6.745002
22.822823,-6.784396
22.922923,-6.823456
23.023023,-6.862181
23.123123,-6.900574
23.223223,-6.938634
23.323323,-6.976364
23.423423,-7.013766
23.523524,-7.050839
23.623624,-7.087585
23.723724,-7.124006
23.823824,-7.160103
23.923924,-7.195878
24.024024,-7.231331
24.124124,-7.266464
24.224224,-7.301279
24.324324,-7.335777
24.424424,-7.369958
24.524525,-7.403825
24.624625,-7.437380
24.724725,-7.470623
24.824825,-7.503555
24.924925,-7.536179
25.025025,-7.568496
25.125125,-7.600507
25.225225,-7.632214
25.325325,-7.663619
25.425425,-7.694722
25.525526,-7.725525
25.625626,-7.756030
25.725726,-7.786239
25.825826,-7.816152
25.925926,-7.845772
26.026026,-7.875100
26.126126,-7.904137
26.226226,-7.932886
26.326326,-7.961347
26.426426,-7.989522
26.526527,-8.017414
26.626627,-8.045023
26.726727,-8.072350
26.826827,-8.099399
26.926927,-8.126169
27.027027,-8.152664
27.127127,-8.178884
27.227227,-8.204831
27.327327,-8.230507
27.427427,-8.255913
27.527528,-8.281051
27.627628,-8.305923
27.727728,-8.330530
27.827828,-8.354873
27.927928,-8.378956
28.028028,-8.402778
28.128128,-8.426343
28.228228,-8.449650
28.328328,-8.472703
28.428428,-8.495503
28.528529,-8.518051
28.628629,-8.540349
28.728729,-8.562399
28.828829,-8.584203
28.928929,-8.605761
29.029029,-8.627076
29.129129,-8.648150
29.229229,-8.668984
29.329329,-8.689579
29.429429,-8.709938
29.529530,-8.730061
29.629630,-8.749952
29.729730,-8.769610
29.829830,-8.789039
29.929930,-8.808239
30.030030,-8.827213
30.130130,-8.845962
30.230230,-8.864487
30.330330,-8.882791
30.430430,-8.900874
30.530531,-8.918739
30.630631,-8.936387
30.730731,-8.953820
30.830831,-8.971040
30.930931,-8.988047
31.031031,-9.004845
31.131131,-9.021434
31.231231,-9.037816
31.331331,-9.053992
31.431431,-9.069965
31.531532,-9.085735
31.631632,-9.101306
31.731732,-9.116677
31.831832,-9.131851
31.931932,-9.146829
32.032032,-9.161613
32.132132,-9.176205
32.232232,-9.190606
32.332332,-9.204818
32.432432,-9.218842
32.532533,-9.232680
32.632633,-9.246333
32.732733,-9.259803
32.832833,-9.273092
32.932933,-9.286201
33.033033,-9.299132
33.133133,-9.311886
33.233233,-9.324465
33.333333,-9.336870
33.433433,-9.349103
33.533534,-9.361166
33.633634,-9.373059
33.733734,-9.384785
33.833834,-9.396345
33.933934,-9.407741
34.034034,-9.418973
34.134134,-9.430044
34.234234,-9.440955
34.334334,-9.451707
34.434434,-9.462302
34.534535,-9.472742
34.634635,-9.483027
34.734735,-9.493160
34.834835,-9.503142
34.934935,-9.512974
35.035035,-9.522658
35.135135,-9.532194
35.235235,-9.541586
35.335335,-9.550833
35.435435,-9.559938
35.535536,-9.568901
35.635636,-9.577725
35.735736,-9.586410
35.835836,-9.594958
35.935936,-9.603371
36.036036,-9.611649
36.136136,-9.619795
36.236236,-9.627808
36.336336,-9.635692
36.436436,-9.643447
36.536537,-9.651074
36.636637,-9.658576
36.736737,-9.665952
36.836837,-9.673205
36.936937,-9.680336
37.037037,-9.687345
37.137137,-9.694235
37.237237,-9.701007
37.337337,-9.707662
37.437437,-9.714201
37.537538,-9.720625
37.637638,-9.726937
37.737738,-9.733136
37.837838,-9.739224
37.937938,-9.745203
38.038038,-9.751074
38.138138,-9.756838
38.238238,-9.762495
38.338338,-9.768048
38.438438,-9.773498
38.538539,-9.778845
38.638639,-9.784092
38.738739,-9.789238
38.838839,-9.794286
38.938939,-9.799236
39.039039,-9.804089
39.139139,-9.808848
39.239239,-9.813512
39.339339,-9.818083
39.439439,-9.822562
39.539540,-9.826951
39.639640,-9.831250
39.739740,-9.835460
39.839840,-9.839583
39.939940,-9.843619
40.040040,-9.847570
40.140140,-9.851437
40.240240,-9.855220
40.340340,-9.858921
40.440440,-9.862542
40.540541,-9.866082
40.640641,-9.869543
40.740741,-9.872926
40.840841,-9.876232
40.940941,-9.879462
41.041041,-9.882617
41.141141,-9.885697
41.241241,-9.888705
41.341341,-9.891641
41.441441,-9.894506
41.541542,-9.897300
41.641642,-9.900025
41.741742,-9.902682
41.841842,-9.905272
41.941942,-9.907795
42.042042,-9.910252
42.142142,-9.912646
42.242242,-9.914975
42.342342,-9.917242
42.442442,-9.919446
42.542543,-9.921590
42.642643,-9.923673
42.742743,-9.925698
42.842843,-9.927664
42.942943,-9.929572
43.043043,-9.931423
43.143143,-9.933219
43.243243,-9.934960
43.343343,-9.936646
43.443443,-9.938279
43.543544,-9.939859
43.643644,-9.941388
43.743744,-9.942865
43.843844,-9.944292
43.943944,-9.945670
44.044044,-9.946999
44.144144,-9.948280
44.244244,-9.949514
44.344344,-9.950701
44.444444,-9.951843
44.544545,-9.952940
44.644645,-9.953992
44.744745,-9.955001
44.844845,-9.955967
44.944945,-9.956891
45.045045,-9.957774
45.145145,-9.958616
45.245245,-9.959418
45.345345,-9.960180
45.445445,-9.960904
45.545546,-9.961590
45.645646,-9.962238
45.745746,-9.962850
45.845846,-9.963426
45.945946,-9.963966
46.046046,-9.964471
46.146146,-9.964942
46.246246,-9.965380
46.346346,-9.965784
46.446446,-9.966156
46.546547,-9.966497
46.646647,-9.966806
46.746747,-9.967084
46.846847,-9.967333
46.946947,-9.967552
47.047047,-9.967742
47.147147,-9.967904
47.247247,-9.968038
47.347347,-9.968144
47.447447,-9.968224
47.547548,-9.968278
47.647648,-9.968306
47.747748,-9.968309
47.847848,-9.968287
47.947948,-9.968242
48.048048,-9.968172
48.148148,-9.968079
48.248248,-9.967964
48.348348,-9.967827
48.448448,-9.967668
48.548549,-9.967487
48.648649,-9.967286
48.748749,-9.967065
48.848849,-9.966823
48.948949,-9.966563
49.049049,-9.966283
49.149149,-9.965985
49.249249,-9.965668
49.349349,-9.965334
49.449449,-9.964983
49.549550,-9.964615
49.649650,-9.964230
49.749750,-9.963830
49.849850,-9.963413
49.949950,-9.962982
50.050050,-9.962535
50.150150,-9.962074
50.250250,-9.961599
50.350350,-9.961110
50.450450,-9.960608
50.550551,-9.960093
50.650651,-9.959565
50.750751,-9.959024
50.850851,-9.958472
50.950951,-9.957908
51.051051,-9.957333
51.151151,-9.956746
51.251251,-9.956149
51.351351,-9.955542
51.451451,-9.954924
51.551552,-9.954297
51.651652,-9.953660
