Time,Value
0.000000,1.561909
0.100100,1.494158
0.200200,1.427234
0.300300,1.361128
0.400400,1.295834
0.500501,1.231343
0.600601,1.167648
0.700701,1.104741
0.800801,1.042617
0.900901,0.981266
1.001001,0.920682
1.101101,0.860857
1.201201,0.801785
1.301301,0.743458
1.401401,0.685870
1.501502,0.629013
1.601602,0.572880
1.701702,0.517464
1.801802,0.462759
1.901902,0.408758
2.002002,0.355454
2.102102,0.302840
2.202202,0.250910
2.302302,0.199657
2.402402,0.149075
2.502503,0.099156
2.602603,0.049896
2.702703,0.001286
2.802803,-0.046678
2.902903,-0.094004
3.003003,-0.140698
3.103103,-0.186765
3.203203,-0.232212
3.303303,-0.277046
3.403403,-0.321271
3.503504,-0.364895
3.603604,-0.407923
3.703704,-0.450361
3.803804,-0.492214
3.903904,-0.533490
4.004004,-0.574193
4.104104,-0.614330
4.204204,-0.653905
4.304304,-0.692925
4.404404,-0.731396
4.504505,-0.769322
4.604605,-0.806709
4.704705,-0.843563
4.804805,-0.879890
4.904905,-0.915694
5.005005,-0.950981
5.105105,-0.985756
5.205205,-1.020025
5.305305,-1.053793
5.405405,-1.087065
5.505506,-1.119846
5.605606,-1.152141
5.705706,-1.183955
5.805806,-1.215293
5.905906,-1.246161
6.006006,-1.276563
6.106106,-1.306504
6.206206,-1.335989
6.306306,-1.365023
6.406406,-1.393610
6.506507,-1.421755
6.606607,-1.449464
6.706707,-1.476740
6.806807,-1.503589
6.906907,-1.530014
7.007007,-1.556021
7.107107,-1.581613
7.207207,-1.606796
7.307307,-1.631574
7.407407,-1.655951
7.507508,-1.679932
7.607608,-1.703521
7.707708,-1.726722
7.807808,-1.749540
7.907908,-1.771978
8.008008,-1.794041
8.108108,-1.815733
8.208208,-1.837059
8.308308,-1.858021
8.408408,-1.878625
8.508509,-1.898875
8.608609,-1.918773
8.708709,-1.938325
8.808809,-1.957534
8.908909,-1.976405
9.009009,-1.994940
9.109109,-2.013143
9.209209,-2.031020
9.309309,-2.048572
9.409409,-2.065805
9.509510,-2.082721
9.609610,-2.099325
9.709710,-2.115619
9.809810,-2.131608
9.909910,-2.147295
10.010010,-2.162684
10.110110,-2.177778
10.210210,-2.192580
10.310310,-2.207095
10.410410,-2.221325
10.510511,-2.235274
10.610611,-2.248944
10.710711,-2.262341
10.810811,-2.275466
10.910911,-2.288323
11.011011,-2.300915
11.111111,-2.313246
11.211211,-2.325319
11.311311,-2.337136
11.411411,-2.348701
11.511512,-2.360017
11.611612,-2.371087
11.711712,-2.381915
11.811812,-2.392502
11.911912,-2.402852
12.012012,-2.412969
12.112112,-2.422854
12.212212,-2.432511
12.312312,-2.441943
12.412412,-2.451152
12.512513,-2.460142
12.612613,-2.468915
12.712713,-2.477474
12.812813,-2.485821
12.912913,-2.493960
13.013013,-2.501893
13.113113,-2.509623
13.213213,-2.517152
13.313313,-2.524483
13.413413,-2.531619
13.513514,-2.538562
13.613614,-2.545314
13.713714,-2.551879
13.813814,-2.558259
13.913914,-2.564455
14.014014,-2.570472
14.114114,-2.576310
14.214214,-2.581973
14.314314,-2.587463
14.414414,-2.592781
14.514515,-2.597932
14.614615,-2.602916
14.714715,-2.607737
14.814815,-2.612395
14.914915,-2.616895
15.015015,-2.621237
15.115115,-2.625425
15.215215,-2.629459
15.315315,-2.633343
15.415415,-2.637079
15.515516,-2.640668
15.615616,-2.644113
15.715716,-2.647416
15.815816,-2.650579
15.915916,-2.653603
16.016016,-2.656492
16.116116,-2.659246
16.216216,-2.661868
16.316316,-2.664360
16.416416,-2.666724
16.516517,-2.668962
16.616617,-2.671075
16.716717,-2.673066
16.816817,-2.674935
16.916917,-2.676687
17.017017,-2.678320
17.117117,-2.679839
17.217217,-2.681245
17.317317,-2.682538
17.417417,-2.683722
17.517518,-2.684797
17.617618,-2.685766
17.717718,-2.686630
17.817818,-2.687391
17.917918,-2.688050
18.018018,-2.688610
18.118118,-2.689071
18.218218,-2.689435
18.318318,-2.689705
18.418418,-2.689881
18.518519,-2.689965
18.618619,-2.689958
18.718719,-2.689863
18.818819,-2.689680
18.918919,-2.689412
19.019019,-2.689059
19.119119,-2.688622
19.219219,-2.688105
19.319319,-2.687507
19.419419,-2.686831
19.519520,-2.686077
19.619620,-2.685247
19.719720,-2.684343
19.819820,-2.683365
19.919920,-2.682316
20.020020,-2.681195
20.120120,-2.680006
20.220220,-2.678748
20.320320,-2.677424
20.420420,-2.676034
20.520521,-2.674580
20.620621,-2.673063
20.720721,-2.671485
20.820821,-2.669845
20.920921,-2.668146
21.021021,-2.666389
21.121121,-2.664575
21.221221,-2.662705
21.321321,-2.660780
21.421421,-2.658801
21.521522,-2.656770
21.621622,-2.654687
21.721722,-2.652554
21.821822,-2.650371
21.921922,-2.648141
22.022022,-2.645863
22.122122,-2.643538
22.222222,-2.641169
22.322322,-2.638755
22.422422,-2.636298
22.522523,-2.633799
