Time,Value
0.000000,0.000053
0.100100,0.000042
0.200200,0.000030
0.300300,0.000019
0.400400,0.000009
0.500501,-0.000002
0.600601,-0.000012
0.700701,-0.000022
0.800801,-0.000032
0.900901,-0.000041
1.001001,-0.000051
1.101101,-0.000059
1.201201,-0.000068
1.301301,-0.000077
1.401401,-0.000085
1.501502,-0.000093
1.601602,-0.000100
1.701702,-0.000108
1.801802,-0.000115
1.901902,-0.000122
2.002002,-0.000129
2.102102,-0.000135
2.202202,-0.000142
2.302302,-0.000148
2.402402,-0.000154
2.502503,-0.000160
2.602603,-0.000165
2.702703,-0.000170
2.802803,-0.000175
2.902903,-0.000180
3.003003,-0.000185
3.103103,-0.000190
3.203203,-0.000194
3.303303,-0.000198
3.403403,-0.000202
3.503504,-0.000206
3.603604,-0.000210
3.703704,-0.000213
3.803804,-0.000216
3.903904,-0.000220
4.004004,-0.000223
4.104104,-0.000225
4.204204,-0.000228
4.304304,-0.000231
4.404404,-0.000233
4.504505,-0.000235
4.604605,-0.000237
4.704705,-0.000239
4.804805,-0.000241
4.904905,-0.000243
5.005005,-0.000244
5.105105,-0.000246
5.205205,-0.000247
5.305305,-0.000248
5.405405,-0.000249
5.505506,-0.000250
5.605606,-0.000251
5.705706,-0.000252
5.805806,-0.000252
5.905906,-0.000253
6.006006,-0.000253
6.106106,-0.000253
6.206206,-0.000253
6.306306,-0.000253
6.406406,-0.000253
6.506507,-0.000253
6.606607,-0.000253
6.706707,-0.000252
6.806807,-0.000252
6.906907,-0.000251
7.007007,-0.000251
7.107107,-0.000250
7.207207,-0.000249
7.307307,-0.000248
7.407407,-0.000247
7.507508,-0.000246
7.607608,-0.000245
7.707708,-0.000244
7.807808,-0.000242
7.907908,-0.000241
8.008008,-0.000239
8.108108,-0.000238
8.208208,-0.000236
8.308308,-0.000235
8.408408,-0.000233
8.508509,-0.000231
8.608609,-0.000229
8.708709,-0.000227
8.808809,-0.000225
8.908909,-0.000223
9.009009,-0.000221
9.109109,-0.000219
9.209209,-0.000217
9.309309,-0.000215
9.409409,-0.000213
9.509510,-0.000210
9.609610,-0.000208
9.709710,-0.000206
9.809810,-0.000203
9.909910,-0.000201
10.010010,-0.000198
10.110110,-0.000195
10.210210,-0.000193
10.310310,-0.000190
10.410410,-0.000188
10.510511,-0.000185
10.610611,-0.000182
10.710711,-0.000179
10.810811,-0.000176
10.910911,-0.000174
11.011011,-0.000171
11.111111,-0.000168
11.211211,-0.000165
11.311311,-0.000162
11.411411,-0.000159
11.511512,-0.000156
11.611612,-0.000153
11.711712,-0.000150
11.811812,-0.000147
11.911912,-0.000144
12.012012,-0.000141
12.112112,-0.000138
12.212212,-0.000135
12.312312,-0.000131
12.412412,-0.000128
12.512513,-0.000125
12.612613,-0.000122
12.712713,-0.000119
12.812813,-0.000116
12.912913,-0.000112
13.013013,-0.000109
13.113113,-0.000106
13.213213,-0.000103
13.313313,-0.000099
13.413413,-0.000096
13.513514,-0.000093
13.613614,-0.000090
13.713714,-0.000086
13.813814,-0.000083
13.913914,-0.000080
14.014014,-0.000077
14.114114,-0.000073
14.214214,-0.000070
14.314314,-0.000067
14.414414,-0.000064
14.514515,-0.000060
14.614615,-0.000057
14.714715,-0.000054
14.814815,-0.000051
14.914915,-0.000047
15.015015,-0.000044
15.115115,-0.000041
15.215215,-0.000038
15.315315,-0.000034
15.415415,-0.000031
15.515516,-0.000028
15.615616,-0.000025
15.715716,-0.000022
15.815816,-0.000018
15.915916,-0.000015
16.016016,-0.000012
16.116116,-0.000009
16.216216,-0.000006
16.316316,-0.000003
16.416416,0.000000
16.516517,0.000003
16.616617,0.000006
16.716717,0.000010
16.816817,0.000013
16.916917,0.000016
17.017017,0.000019
17.117117,0.000022
17.217217,0.000025
17.317317,0.000028
17.417417,0.000031
17.517518,0.000034
17.617618,0.000036
17.717718,0.000039
17.817818,0.000042
17.917918,0.000045
18.018018,0.000048
18.118118,0.000051
18.218218,0.000054
18.318318,0.000056
18.418418,0.000059
18.518519,0.000062
18.618619,0.000065
18.718719,0.000067
18.818819,0.000070
18.918919,0.000073
19.019019,0.000075
19.119119,0.000078
19.219219,0.000081
19.319319,0.000083
19.419419,0.000086
19.519520,0.000088
19.619620,0.000091
19.719720,0.000093
19.819820,0.000096
19.919920,0.000098
20.020020,0.000101
20.120120,0.000103
20.220220,0.000106
20.320320,0.000108
20.420420,0.000110
20.520521,0.000113
20.620621,0.000115
20.720721,0.000117
20.820821,0.000120
20.920921,0.000122
21.021021,0.000124
21.121121,0.000126
21.221221,0.000128
21.321321,0.000131
21.421421,0.000133
21.521522,0.000135
21.621622,0.000137
21.721722,0.000139
21.821822,0.000141
21.921922,0.000143
22.022022,0.000145
22.122122,0.000147
22.222222,0.000149
22.322322,0.000151
22.422422,0.000153
22.522523,0.000154
22.622623,0.000156
22.722723,0.000158
22.822823,0.000160
22.922923,0.000162
23.023023,0.000163
23.123123,0.000165
23.223223,0.000167
23.323323,0.000168
23.423423,0.000170
23.523524,0.000172
23.623624,0.000173
23.723724,0.000175
23.823824,0.000176
23.923924,0.000178
24.024024,0.000179
24.124124,0.000181
24.224224,0.000182
24.324324,0.000183
24.424424,0.000185
24.524525,0.000186
24.624625,0.000188
24.724725,0.000189
24.824825,0.000190
24.924925,0.000191
25.025025,0.000193
25.125125,0.000194
25.225225,0.000195
25.325325,0.000196
25.425425,0.000197
25.525526,0.000199
25.625626,0.000200
25.725726,0.000201
25.825826,0.000202
25.925926,0.000203
26.026026,0.000204
26.126126,0.000205
26.226226,0.000206
26.326326,0.000207
26.426426,0.000208
26.526527,0.000209
26.626627,0.000209
26.726727,0.000210
26.826827,0.000211
26.926927,0.000212
27.027027,0.000213
27.127127,0.000213
27.227227,0.000214
27.327327,0.000215
27.427427,0.000216
27.527528,0.000216
27.627628,0.000217
27.727728,0.000218
27.827828,0.000218
27.927928,0.000219
28.028028,0.000219
28.128128,0.000220
28.228228,0.000220
28.328328,0.000221
28.428428,0.000221
28.528529,0.000222
28.628629,0.000222
28.728729,0.000223
28.828829,0.000223
28.928929,0.000224
29.029029,0.000224
29.129129,0.000224
29.229229,0.000225
29.329329,0.000225
29.429429,0.000225
29.529530,0.000226
29.629630,0.000226
29.729730,0.000226
29.829830,0.000226
29.929930,0.000227
30.030030,0.000227
30.130130,0.000227
30.230230,0.000227
30.330330,0.000227
30.430430,0.000227
30.530531,0.000227
30.630631,0.000227
30.730731,0.000227
30.830831,0.000228
30.930931,0.000228
31.031031,0.000228
31.131131,0.000228
31.231231,0.000228
31.331331,0.000228
31.431431,0.000227
31.531532,0.000227
31.631632,0.000227
31.731732,0.000227
31.831832,0.000227
31.931932,0.000227
32.032032,0.000227
32.132132,0.000227
32.232232,0.000226
32.332332,0.000226
32.432432,0.000226
32.532533,0.000226
32.632633,0.000226
32.732733,0.000225
32.832833,0.000225
32.932933,0.000225
33.033033,0.000225
33.133133,0.000224
33.233233,0.000224
33.333333,0.000224
33.433433,0.000223
33.533534,0.000223
33.633634,0.000223
33.733734,0.000222
33.833834,0.000222
33.933934,0.000221
34.034034,0.000221
34.134134,0.000221
34.234234,0.000220
34.334334,0.000220
34.434434,0.000219
34.534535,0.000219
34.634635,0.000218
34.734735,0.000218
34.834835,0.000217
34.934935,0.000217
35.035035,0.000216
35.135135,0.000216
35.235235,0.000215
35.335335,0.000215
35.435435,0.000214
35.535536,0.000214
35.635636,0.000213
35.735736,0.000212
35.835836,0.000212
35.935936,0.000211
36.036036,0.000210
36.136136,0.000210
36.236236,0.000209
36.336336,0.000209
36.436436,0.000208
36.536537,0.000207
36.636637,0.000207
36.736737,0.000206
36.836837,0.000205
36.936937,0.000205
37.037037,0.000204
37.137137,0.000203
37.237237,0.000202
37.337337,0.000202
37.437437,0.000201
37.537538,0.000200
37.637638,0.000199
37.737738,0.000199
37.837838,0.000198
37.937938,0.000197
38.038038,0.000196
38.138138,0.000196
38.238238,0.000195
38.338338,0.000194
38.438438,0.000193
38.538539,0.000192
38.638639,0.000192
38.738739,0.000191
38.838839,0.000190
38.938939,0.000189
39.039039,0.000188
39.139139,0.000188
39.239239,0.000187
39.339339,0.000186
39.439439,0.000185
39.539540,0.000184
39.639640,0.000183
39.739740,0.000183
39.839840,0.000182
39.939940,0.000181
40.040040,0.000180
40.140140,0.000179
40.240240,0.000178
40.340340,0.000177
40.440440,0.000176
40.540541,0.000176
40.640641,0.000175
40.740741,0.000174
40.840841,0.000173
40.940941,0.000172
41.041041,0.000171
41.141141,0.000170
41.241241,0.000169
41.341341,0.000168
41.441441,0.000167
41.541542,0.000167
41.641642,0.000166
41.741742,0.000165
41.841842,0.000164
41.941942,0.000163
42.042042,0.000162
42.142142,0.000161
42.242242,0.000160
42.342342,0.000159
42.442442,0.000158
42.542543,0.000157
42.642643,0.000156
42.742743,0.000156
42.842843,0.000155
42.942943,0.000154
43.043043,0.000153
43.143143,0.000152
43.243243,0.000151
43.343343,0.000150
43.443443,0.000149
43.543544,0.000148
43.643644,0.000147
43.743744,0.000146
43.843844,0.000145
43.943944,0.000144
44.044044,0.000143
44.144144,0.000143
44.244244,0.000142
44.344344,0.000141
44.444444,0.000140
44.544545,0.000139
44.644645,0.000138
44.744745,0.000137
44.844845,0.000136
44.944945,0.000135
45.045045,0.000134
45.145145,0.000133
45.245245,0.000132
45.345345,0.000131
45.445445,0.000131
45.545546,0.000130
45.645646,0.000129
45.745746,0.000128
45.845846,0.000127
45.945946,0.000126
46.046046,0.000125
46.146146,0.000124
46.246246,0.000123
46.346346,0.000122
46.446446,0.000122
46.546547,0.000121
46.646647,0.000120
46.746747,0.000119
46.846847,0.000118
46.946947,0.000117
47.047047,0.000116
47.147147,0.000115
47.247247,0.000114
47.347347,0.000114
47.447447,0.000113
47.547548,0.000112
47.647648,0.000111
47.747748,0.000110
47.847848,0.000109
47.947948,0.000108
48.048048,0.000107
