Time,Value
0.000000,-0.000543
0.100100,-0.003994
0.200200,-0.007384
0.300300,-0.010713
0.400400,-0.013982
0.500501,-0.017191
0.600601,-0.020341
0.700701,-0.023433
0.800801,-0.026468
0.900901,-0.029446
1.001001,-0.032367
1.101101,-0.035234
1.201201,-0.038046
1.301301,-0.040804
1.401401,-0.043508
1.501502,-0.046160
1.601602,-0.048760
1.701702,-0.051308
1.801802,-0.053805
1.901902,-0.056253
2.002002,-0.058651
2.102102,-0.061000
2.202202,-0.063301
2.302302,-0.065554
2.402402,-0.067760
2.502503,-0.069920
2.602603,-0.072033
2.702703,-0.074102
2.802803,-0.076126
2.902903,-0.078105
3.003003,-0.080042
3.103103,-0.081935
3.203203,-0.083785
3.303303,-0.085594
3.403403,-0.087362
3.503504,-0.089088
3.603604,-0.090775
3.703704,-0.092422
3.803804,-0.094029
3.903904,-0.095598
4.004004,-0.097129
4.104104,-0.098622
4.204204,-0.100077
4.304304,-0.101497
4.404404,-0.102880
4.504505,-0.104227
4.604605,-0.105539
4.704705,-0.106817
4.804805,-0.108060
4.904905,-0.109269
5.005005,-0.110445
5.105105,-0.111589
5.205205,-0.112700
5.305305,-0.113779
5.405405,-0.114826
5.505506,-0.115843
5.605606,-0.116829
5.705706,-0.117785
5.805806,-0.118711
5.905906,-0.119607
6.006006,-0.120475
6.106106,-0.121315
6.206206,-0.122126
6.306306,-0.122909
6.406406,-0.123666
6.506507,-0.124395
6.606607,-0.125098
6.706707,-0.125775
6.806807,-0.126427
6.906907,-0.127052
7.007007,-0.127653
7.107107,-0.128230
7.207207,-0.128782
7.307307,-0.129311
7.407407,-0.129816
7.507508,-0.130298
7.607608,-0.130757
7.707708,-0.131194
7.807808,-0.131608
7.907908,-0.132001
8.008008,-0.132373
8.108108,-0.132723
8.208208,-0.133053
8.308308,-0.133363
8.408408,-0.133652
8.508509,-0.133922
8.608609,-0.134172
8.708709,-0.134404
8.808809,-0.134616
8.908909,-0.134810
9.009009,-0.134986
9.109109,-0.135144
9.209209,-0.135284
9.309309,-0.135407
9.409409,-0.135513
9.509510,-0.135602
9.609610,-0.135675
9.709710,-0.135732
9.809810,-0.135773
9.909910,-0.135798
10.010010,-0.135808
10.110110,-0.135803
10.210210,-0.135783
10.310310,-0.135748
10.410410,-0.135700
10.510511,-0.135637
10.610611,-0.135560
10.710711,-0.135470
10.810811,-0.135367
10.910911,-0.135251
11.011011,-0.135121
11.111111,-0.134980
11.211211,-0.134826
11.311311,-0.134660
11.411411,-0.134482
11.511512,-0.134292
11.611612,-0.134091
11.711712,-0.133879
11.811812,-0.133656
11.911912,-0.133422
12.012012,-0.133178
12.112112,-0.132923
12.212212,-0.132658
12.312312,-0.132383
12.412412,-0.132099
12.512513,-0.131805
12.612613,-0.131502
12.712713,-0.131189
12.812813,-0.130868
12.912913,-0.130538
13.013013,-0.130199
13.113113,-0.129852
13.213213,-0.129497
13.313313,-0.129134
13.413413,-0.128763
13.513514,-0.128385
13.613614,-0.127999
13.713714,-0.127606
13.813814,-0.127205
13.913914,-0.126798
14.014014,-0.126384
14.114114,-0.125963
14.214214,-0.125536
14.314314,-0.125102
14.414414,-0.124663
14.514515,-0.124217
14.614615,-0.123766
14.714715,-0.123309
14.814815,-0.122846
14.914915,-0.122378
15.015015,-0.121905
15.115115,-0.121426
15.215215,-0.120943
15.315315,-0.120455
15.415415,-0.119962
15.515516,-0.119465
15.615616,-0.118963
15.715716,-0.118457
15.815816,-0.117947
15.915916,-0.117433
16.016016,-0.116915
16.116116,-0.116393
16.216216,-0.115867
16.316316,-0.115338
16.416416,-0.114806
16.516517,-0.114270
16.616617,-0.113731
16.716717,-0.113189
16.816817,-0.112645
16.916917,-0.112097
17.017017,-0.111546
17.117117,-0.110993
17.217217,-0.110438
17.317317,-0.109880
17.417417,-0.109320
17.517518,-0.108757
17.617618,-0.108193
17.717718,-0.107626
17.817818,-0.107058
17.917918,-0.106487
18.018018,-0.105915
18.118118,-0.105342
18.218218,-0.104767
18.318318,-0.104190
18.418418,-0.103612
18.518519,-0.103033
18.618619,-0.102452
18.718719,-0.101871
18.818819,-0.101288
18.918919,-0.100705
19.019019,-0.100121
19.119119,-0.099536
19.219219,-0.098950
19.319319,-0.098364
19.419419,-0.097777
19.519520,-0.097189
19.619620,-0.096602
19.719720,-0.096014
19.819820,-0.095425
19.919920,-0.094837
20.020020,-0.094248
20.120120,-0.093660
20.220220,-0.093071
20.320320,-0.092482
20.420420,-0.091894
20.520521,-0.091306
20.620621,-0.090718
20.720721,-0.090130
20.820821,-0.089543
20.920921,-0.088956
21.021021,-0.088370
21.121121,-0.087784
21.221221,-0.087199
21.321321,-0.086615
21.421421,-0.086031
21.521522,-0.085448
21.621622,-0.084866
21.721722,-0.084285
21.821822,-0.083705
21.921922,-0.083125
22.022022,-0.082547
22.122122,-0.081970
22.222222,-0.081394
22.322322,-0.080819
22.422422,-0.080245
22.522523,-0.079672
22.622623,-0.079101
22.722723,-0.078531
22.822823,-0.077963
22.922923,-0.077395
23.023023,-0.076830
23.123123,-0.076265
23.223223,-0.075703
23.323323,-0.075142
23.423423,-0.074582
23.523524,-0.074024
23.623624,-0.073468
23.723724,-0.072913
23.823824,-0.072360
23.923924,-0.071809
24.024024,-0.071260
24.124124,-0.070712
24.224224,-0.070166
24.324324,-0.069622
24.424424,-0.069081
24.524525,-0.068540
24.624625,-0.068002
24.724725,-0.067466
24.824825,-0.066932
24.924925,-0.066400
25.025025,-0.065870
25.125125,-0.065342
25.225225,-0.064816
25.325325,-0.064293
25.425425,-0.063771
25.525526,-0.063252
25.625626,-0.062734
25.725726,-0.062219
25.825826,-0.061706
25.925926,-0.061196
26.026026,-0.060687
26.126126,-0.060181
26.226226,-0.059678
26.326326,-0.059176
26.426426,-0.058677
26.526527,-0.058180
26.626627,-0.057686
26.726727,-0.057194
26.826827,-0.056704
26.926927,-0.056216
27.027027,-0.055732
27.127127,-0.055249
27.227227,-0.054769
27.327327,-0.054291
27.427427,-0.053816
27.527528,-0.053343
27.627628,-0.052873
27.727728,-0.052405
27.827828,-0.051940
27.927928,-0.051477
28.028028,-0.051017
28.128128,-0.050559
28.228228,-0.050104
28.328328,-0.049651
28.428428,-0.049201
28.528529,-0.048753
28.628629,-0.048308
28.728729,-0.047865
28.828829,-0.047425
28.928929,-0.046988
29.029029,-0.046553
29.129129,-0.046120
29.229229,-0.045691
29.329329,-0.045263
29.429429,-0.044839
29.529530,-0.044417
29.629630,-0.043997
29.729730,-0.043580
29.829830,-0.043166
29.929930,-0.042754
30.030030,-0.042345
30.130130,-0.041939
30.230230,-0.041535
30.330330,-0.041133
30.430430,-0.040735
30.530531,-0.040338
30.630631,-0.039945
30.730731,-0.039554
30.830831,-0.039165
30.930931,-0.038779
31.031031,-0.038396
31.131131,-0.038015
31.231231,-0.037637
31.331331,-0.037262
31.431431,-0.036889
31.531532,-0.036518
31.631632,-0.036150
31.731732,-0.035785
31.831832,-0.035422
31.931932,-0.035062
32.032032,-0.034704
32.132132,-0.034349
32.232232,-0.033996
32.332332,-0.033646
32.432432,-0.033299
32.532533,-0.032954
32.632633,-0.032611
32.732733,-0.032271
32.832833,-0.031934
32.932933,-0.031599
33.033033,-0.031266
33.133133,-0.030936
33.233233,-0.030609
33.333333,-0.030284
33.433433,-0.029961
33.533534,-0.029641
33.633634,-0.029323
33.733734,-0.029008
33.833834,-0.028695
33.933934,-0.028385
34.034034,-0.028077
34.134134,-0.027771
34.234234,-0.027468
34.334334,-0.027167
34.434434,-0.026869
34.534535,-0.026573
34.634635,-0.026279
34.734735,-0.025988
34.834835,-0.025699
34.934935,-0.025412
35.035035,-0.025128
35.135135,-0.024846
35.235235,-0.024566
35.335335,-0.024289
35.435435,-0.024014
35.535536,-0.023741
35.635636,-0.023471
35.735736,-0.023203
35.835836,-0.022937
35.935936,-0.022673
36.036036,-0.022412
36.136136,-0.022152
36.236236,-0.021895
36.336336,-0.021640
36.436436,-0.021388
36.536537,-0.021137
36.636637,-0.020889
36.736737,-0.020643
36.836837,-0.020399
36.936937,-0.020157
37.037037,-0.019918
37.137137,-0.019680
37.237237,-0.019445
37.337337,-0.019212
37.437437,-0.018980
37.537538,-0.018751
37.637638,-0.018524
37.737738,-0.018299
37.837838,-0.018076
37.937938,-0.017855
38.038038,-0.017636
38.138138,-0.017419
38.238238,-0.017204
38.338338,-0.016992
38.438438,-0.016781
38.538539,-0.016572
38.638639,-0.016365
38.738739,-0.016160
38.838839,-0.015956
38.938939,-0.015755
39.039039,-0.015556
39.139139,-0.015358
39.239239,-0.015163
39.339339,-0.014969
39.439439,-0.014777
39.539540,-0.014587
39.639640,-0.014399
39.739740,-0.014213
39.839840,-0.014029
39.939940,-0.013846
40.040040,-0.013665
40.140140,-0.013486
40.240240,-0.013309
40.340340,-0.013133
40.440440,-0.012959
40.540541,-0.012787
40.640641,-0.012617
40.740741,-0.012448
40.840841,-0.012281
40.940941,-0.012116
41.041041,-0.011952
41.141141,-0.011790
41.241241,-0.011630
41.341341,-0.011472
41.441441,-0.011315
41.541542,-0.011159
41.641642,-0.011005
41.741742,-0.010853
41.841842,-0.010703
41.941942,-0.010554
42.042042,-0.010406
42.142142,-0.010260
42.242242,-0.010116
42.342342,-0.009973
42.442442,-0.009832
42.542543,-0.009692
42.642643,-0.009554
42.742743,-0.009417
42.842843,-0.009281
42.942943,-0.009148
43.043043,-0.009015
43.143143,-0.008884
43.243243,-0.008754
43.343343,-0.008626
43.443443,-0.008499
43.543544,-0.008374
43.643644,-0.008250
43.743744,-0.008127
43.843844,-0.008006
43.943944,-0.007886
44.044044,-0.007768
44.144144,-0.007650
44.244244,-0.007534
44.344344,-0.007420
44.444444,-0.007306
44.544545,-0.007194
44.644645,-0.007083
44.744745,-0.006974
44.844845,-0.006866
44.944945,-0.006759
45.045045,-0.006653
45.145145,-0.006548
45.245245,-0.006445
45.345345,-0.006343
45.445445,-0.006242
45.545546,-0.006142
45.645646,-0.006043
45.745746,-0.005946
45.845846,-0.005849
45.945946,-0.005754
46.046046,-0.005660
46.146146,-0.005567
46.246246,-0.005475
46.346346,-0.005385
46.446446,-0.005295
46.546547,-0.005206
46.646647,-0.005119
46.746747,-0.005032
46.846847,-0.004947
46.946947,-0.004863
47.047047,-0.004779
47.147147,-0.004697
47.247247,-0.004616
47.347347,-0.004535
47.447447,-0.004456
47.547548,-0.004378
47.647648,-0.004301
47.747748,-0.004224
47.847848,-0.004149
47.947948,-0.004074
48.048048,-0.004001
48.148148,-0.003928
48.248248,-0.003857
48.348348,-0.003786
48.448448,-0.003716
48.548549,-0.003647
48.648649,-0.003579
48.748749,-0.003512
48.848849,-0.003445
48.948949,-0.003380
49.049049,-0.003315
49.149149,-0.003252
49.249249,-0.003189
49.349349,-0.003127
49.449449,-0.003065
49.549550,-0.003005
49.649650,-0.002945
49.749750,-0.002886
49.849850,-0.002828
49.949950,-0.002771
50.050050,-0.002714
50.150150,-0.002659
50.250250,-0.002604
50.350350,-0.002549
50.450450,-0.002496
50.550551,-0.002443
50.650651,-0.002391
50.750751,-0.002340
50.850851,-0.002289
50.950951,-0.002239
