Time,Value
0.000000,-0.003876
0.100100,-0.003872
0.200200,-0.003868
0.300300,-0.003866
0.400400,-0.003864
0.500501,-0.003864
0.600601,-0.003865
0.700701,-0.003866
0.800801,-0.003869
0.900901,-0.003873
1.001001,-0.003877
1.101101,-0.003883
1.201201,-0.003889
1.301301,-0.003896
1.401401,-0.003904
1.501502,-0.003913
1.601602,-0.003923
1.701702,-0.003933
1.801802,-0.003945
1.901902,-0.003956
2.002002,-0.003969
2.102102,-0.003982
2.202202,-0.003996
2.302302,-0.004011
2.402402,-0.004026
2.502503,-0.004041
2.602603,-0.004058
2.702703,-0.004074
2.802803,-0.004092
2.902903,-0.004110
3.003003,-0.004128
3.103103,-0.004147
3.203203,-0.004166
3.303303,-0.004185
3.403403,-0.004206
3.503504,-0.004226
3.603604,-0.004247
3.703704,-0.004268
3.803804,-0.004289
3.903904,-0.004311
4.004004,-0.004333
4.104104,-0.004356
4.204204,-0.004379
4.304304,-0.004402
4.404404,-0.004425
4.504505,-0.004448
4.604605,-0.004472
4.704705,-0.004496
4.804805,-0.004520
4.904905,-0.004544
5.005005,-0.004568
5.105105,-0.004593
5.205205,-0.004618
5.305305,-0.004642
5.405405,-0.004667
5.505506,-0.004692
5.605606,-0.004717
5.705706,-0.004742
5.805806,-0.004768
5.905906,-0.004793
6.006006,-0.004818
6.106106,-0.004843
6.206206,-0.004869
6.306306,-0.004894
6.406406,-0.004919
6.506507,-0.004945
6.606607,-0.004970
6.706707,-0.004995
6.806807,-0.005021
6.906907,-0.005046
7.007007,-0.005071
7.107107,-0.005096
7.207207,-0.005121
7.307307,-0.005146
7.407407,-0.005171
7.507508,-0.005195
7.607608,-0.005220
7.707708,-0.005244
7.807808,-0.005269
7.907908,-0.005293
8.008008,-0.005317
8.108108,-0.005341
8.208208,-0.005364
8.308308,-0.005388
8.408408,-0.005411
8.508509,-0.005435
8.608609,-0.005458
8.708709,-0.005480
8.808809,-0.005503
8.908909,-0.005526
9.009009,-0.005548
9.109109,-0.005570
9.209209,-0.005592
9.309309,-0.005613
9.409409,-0.005635
