Time,Value
0.000000,-20.544630
0.100100,-20.546796
0.200200,-20.549303
0.300300,-20.552145
0.400400,-20.555315
0.500501,-20.558810
0.600601,-20.562623
0.700701,-20.566749
0.800801,-20.571183
0.900901,-20.575919
1.001001,-20.580952
1.101101,-20.586278
1.201201,-20.591891
1.301301,-20.597786
1.401401,-20.603959
1.501502,-20.610403
1.601602,-20.617115
1.701702,-20.624090
1.801802,-20.631323
1.901902,-20.638809
2.002002,-20.646544
2.102102,-20.654523
2.202202,-20.662741
2.302302,-20.671194
2.402402,-20.679878
2.502503,-20.688788
2.602603,-20.697920
2.702703,-20.707269
2.802803,-20.716832
2.902903,-20.726604
3.003003,-20.736581
3.103103,-20.746759
3.203203,-20.757134
3.303303,-20.767702
3.403403,-20.778458
3.503504,-20.789400
3.603604,-20.800523
3.703704,-20.811823
3.803804,-20.823297
3.903904,-20.834940
4.004004,-20.846750
4.104104,-20.858722
4.204204,-20.870853
4.304304,-20.883139
4.404404,-20.895577
4.504505,-20.908164
4.604605,-20.920895
4.704705,-20.933768
4.804805,-20.946779
4.904905,-20.959924
5.005005,-20.973202
5.105105,-20.986607
5.205205,-21.000138
5.305305,-21.013791
5.405405,-21.027563
5.505506,-21.041450
5.605606,-21.055450
5.705706,-21.069560
5.805806,-21.083777
5.905906,-21.098097
6.006006,-21.112519
6.106106,-21.127039
6.206206,-21.141654
6.306306,-21.156361
6.406406,-21.171158
6.506507,-21.186042
6.606607,-21.201011
6.706707,-21.216061
6.806807,-21.231191
6.906907,-21.246397
7.007007,-21.261677
7.107107,-21.277028
7.207207,-21.292449
7.307307,-21.307936
7.407407,-21.323487
7.507508,-21.339100
7.607608,-21.354772
7.707708,-21.370501
7.807808,-21.386286
7.907908,-21.402122
8.008008,-21.418009
8.108108,-21.433945
8.208208,-21.449926
8.308308,-21.465951
8.408408,-21.482018
8.508509,-21.498124
8.608609,-21.514268
8.708709,-21.530448
8.808809,-21.546661
8.908909,-21.562906
9.009009,-21.579181
9.109109,-21.595483
9.209209,-21.611811
9.309309,-21.628164
9.409409,-21.644538
9.509510,-21.660933
9.609610,-21.677347
9.709710,-21.693778
9.809810,-21.710223
9.909910,-21.726682
10.010010,-21.743153
10.110110,-21.759635
10.210210,-21.776124
10.310310,-21.792621
10.410410,-21.809123
10.510511,-21.825629
10.610611,-21.842137
10.710711,-21.858646
